id;detalle;fecha;observacion;documento;documento_content_type;nombre_de_documento;privado
1;Canyon;2020-12-17;Baby Granite;../fake-data/blob/hipster.png;image/png;quantifying innovate;true
2;Chair;2020-12-17;USB;../fake-data/blob/hipster.png;image/png;Costa Rican Colon e-commerce Convertible Marks;true
3;optimal;2020-12-17;Grocery Steel deposit;../fake-data/blob/hipster.png;image/png;Marketing CSS programming;false
4;copy viral invoice;2020-12-18;Incredible Generic;../fake-data/blob/hipster.png;image/png;Credit Card Account;true
5;bypassing;2020-12-17;1080p;../fake-data/blob/hipster.png;image/png;Metal UAE Dirham Stand-alone;false
6;Designer Incredible Steel;2020-12-17;Credit Card Account Trace;../fake-data/blob/hipster.png;image/png;utilize cyan;true
7;Granite;2020-12-17;Cambridgeshire mesh;../fake-data/blob/hipster.png;image/png;world-class;true
8;strategize;2020-12-17;fuchsia Soft;../fake-data/blob/hipster.png;image/png;Branding;false
9;Baby;2020-12-17;Sports Health bifurcated;../fake-data/blob/hipster.png;image/png;parsing;false
10;lime North Carolina data-warehouse;2020-12-17;Bedfordshire;../fake-data/blob/hipster.png;image/png;Credit Card Account payment Terrace;true
